Meeting Pattern,Enrolled,Capacity,STN_OCC%
MTuWTh,30.25,32.0,0.9453125
MTuWF,29.0,32.0,0.90625
ThF,10.5,12.0,0.875
MWF,37.12603305785124,43.95867768595041,0.8616541027377883
TuF,11.75,14.0,0.8392857142857143
M,26.84659090909091,33.91856060606061,0.8121345190097066
W,28.064,35.714,0.8090267887766797
MW,31.918141592920353,41.966814159292035,0.7999921773879095
TuTh,38.69380831212892,49.16793893129771,0.782713654044687
Tu,31.369202226345084,40.95361781076067,0.7819897454278835
Th,30.11134903640257,40.25910064239829,0.7775349480685094
F,21.75330396475771,32.6784140969163,0.7498531331629003
WF,28.125,53.0,0.6308571428571429
MF,27.6,33.8,0.6100000000000001
MWThF,18.0,32.0,0.5625
Sa,22.53846153846154,75.0,0.4268782051282051
