Capacity,Quantiy
30,517
24,450
25,406
20,288
32,237
0,220
40,193
50,170
60,152
21,134
70,117
125,116
26,104
35,103
45,88
22,88
15,81
49,78
10,76
28,63
38,59
27,56
34,53
100,53
18,51
80,50
12,48
16,43
65,43
36,38
8,35
17,28
5,26
14,25
42,25
75,24
108,23
37,23
99,21
55,17
3,16
31,16
90,15
85,14
19,14
9,13
44,13
150,13
300,13
23,13
33,12
52,12
500,11
48,11
11,10
228,9
41,9
200,8
7,8
13,8
54,8
120,8
29,7
111,7
170,7
4,7
118,7
159,7
250,6
160,6
6,5
185,5
146,5
98,5
128,5
95,5
47,4
110,4
130,4
72,4
167,3
39,3
63,3
115,3
51,3
123,2
76,2
175,2
68,2
180,2
164,2
140,2
155,2
252,2
59,2
119,2
350,2
87,2
435,2
461,2
265,2
114,2
165,2
310,2
91,2
450,2
73,2
77,2
195,1
86,1
66,1
43,1
74,1
78,1
506,1
258,1
94,1
454,1
190,1
96,1
226,1
210,1
103,1
62,1
46,1
135,1
81,1
105,1
1,1
121,1
400,1
380,1
320,1
153,1
268,1
240,1
225,1
216,1
365,1
425,1
144,1
57,1
467,1
